Phi,Ok,nInf,PeakSpreadBps,ImpactLev,ImpactSharePct
0,1,0,0.857602486017649,0.00209806547064537,3.6663822162331
0.0001,1,0,0.857604436948888,0.00210016848982148,3.6696226579058
0.01,1,0,0.857801685790575,0.00231028955558925,3.98982780328743
0.02,1,0,0.858009507901519,0.00252645434592812,4.31214891903149
0.03,1,0,0.858226471731442,0.00274664771102263,4.63347639165625
0.05,1,0,0.858690105333664,0.00319947911548981,5.27369593998381
0.075,1,0,0.859332006945598,0.00378980092255923,6.07089460198913
0.1,1,0,0.860054224217296,0.00440848089993605,6.86695339658003
0.15,1,0,0.861800203018903,0.00573698183166205,8.46677152895898
0.2,1,0,0.864088692869407,0.00719715595435925,10.0992000418256
0.25,1,0,0.86717382623093,0.00880040535494798,11.7987647725835
0.3,1,0,0.87147534851716,0.0105553277600902,13.6137859150835
0.4,1,0,0.887268604344085,0.0145133095364586,17.8889693516323
0.5,1,0,0.930356349215823,0.0188063052164717,24.0823016649117
